taps,stopband_weight,coeff_fraction_bits,total_bits,float_pb_ripple_db,float_sb_peak_db,float_ok,quant_pb_ripple_db,quant_sb_peak_db,quant_ok,cost
100,1,15,16,0.401644,-32.695365,0,0.403424,-32.693085,0,1600
100,1,17,18,0.401644,-32.695365,0,0.401800,-32.704899,0,1800
100,1,19,20,0.401644,-32.695365,0,0.401639,-32.693039,0,2000
100,1,21,22,0.401644,-32.695365,0,0.401630,-32.694358,0,2200
100,1,23,24,0.401644,-32.695365,0,0.401638,-32.695459,0,2400
100,1,25,26,0.401644,-32.695365,0,0.401645,-32.695368,0,2600
100,1,27,28,0.401644,-32.695365,0,0.401645,-32.695374,0,2800
100,1,31,32,0.401644,-32.695365,0,0.401644,-32.695365,0,3200
100,2,15,16,0.570654,-35.675076,0,0.571940,-35.589382,0,1600
100,2,17,18,0.570654,-35.675076,0,0.570609,-35.660403,0,1800
100,2,19,20,0.570654,-35.675076,0,0.570681,-35.670515,0,2000
100,2,21,22,0.570654,-35.675076,0,0.570637,-35.675401,0,2200
100,2,23,24,0.570654,-35.675076,0,0.570652,-35.674980,0,2400
100,2,25,26,0.570654,-35.675076,0,0.570654,-35.675101,0,2600
100,2,27,28,0.570654,-35.675076,0,0.570654,-35.675064,0,2800
100,2,31,32,0.570654,-35.675076,0,0.570654,-35.675074,0,3200
100,5,15,16,0.929730,-39.366219,0,0.929319,-39.303142,0,1600
100,5,17,18,0.929730,-39.366219,0,0.930180,-39.345227,0,1800
100,5,19,20,0.929730,-39.366219,0,0.929699,-39.371848,0,2000
100,5,21,22,0.929730,-39.366219,0,0.929748,-39.364591,0,2200
100,5,23,24,0.929730,-39.366219,0,0.929727,-39.366187,0,2400
100,5,25,26,0.929730,-39.366219,0,0.929730,-39.366307,0,2600
100,5,27,28,0.929730,-39.366219,0,0.929730,-39.366218,0,2800
100,5,31,32,0.929730,-39.366219,0,0.929730,-39.366220,0,3200
100,10,15,16,1.247549,-42.843863,0,1.248187,-42.640135,0,1600
100,10,17,18,1.247549,-42.843863,0,1.247387,-42.830642,0,1800
100,10,19,20,1.247549,-42.843863,0,1.247481,-42.837540,0,2000
100,10,21,22,1.247549,-42.843863,0,1.247549,-42.842773,0,2200
100,10,23,24,1.247549,-42.843863,0,1.247558,-42.843499,0,2400
100,10,25,26,1.247549,-42.843863,0,1.247548,-42.843842,0,2600
100,10,27,28,1.247549,-42.843863,0,1.247549,-42.843837,0,2800
100,10,31,32,1.247549,-42.843863,0,1.247549,-42.843863,0,3200
100,20,15,16,1.585035,-46.812312,0,1.585847,-46.551364,0,1600
100,20,17,18,1.585035,-46.812312,0,1.584947,-46.732680,0,1800
100,20,19,20,1.585035,-46.812312,0,1.584928,-46.813805,0,2000
100,20,21,22,1.585035,-46.812312,0,1.585056,-46.806921,0,2200
100,20,23,24,1.585035,-46.812312,0,1.585033,-46.812539,0,2400
100,20,25,26,1.585035,-46.812312,0,1.585034,-46.812784,0,2600
100,20,27,28,1.585035,-46.812312,0,1.585035,-46.812280,0,2800
100,20,31,32,1.585035,-46.812312,0,1.585035,-46.812313,0,3200
100,40,15,16,2.231769,-49.771635,0,2.231600,-49.419793,0,1600
100,40,17,18,2.231769,-49.771635,0,2.231389,-49.792826,0,1800
100,40,19,20,2.231769,-49.771635,0,2.231776,-49.761737,0,2000
100,40,21,22,2.231769,-49.771635,0,2.231775,-49.776552,0,2200
100,40,23,24,2.231769,-49.771635,0,2.231770,-49.772523,0,2400
100,40,25,26,2.231769,-49.771635,0,2.231767,-49.771872,0,2600
100,40,27,28,2.231769,-49.771635,0,2.231769,-49.771695,0,2800
100,40,31,32,2.231769,-49.771635,0,2.231769,-49.771640,0,3200
100,80,15,16,3.013927,-53.248660,0,3.013393,-52.690106,0,1600
100,80,17,18,3.013927,-53.248660,0,3.013824,-53.220020,0,1800
100,80,19,20,3.013927,-53.248660,0,3.013918,-53.231173,0,2000
100,80,21,22,3.013927,-53.248660,0,3.013920,-53.248826,0,2200
100,80,23,24,3.013927,-53.248660,0,3.013925,-53.249668,0,2400
100,80,25,26,3.013927,-53.248660,0,3.013928,-53.248448,0,2600
100,80,27,28,3.013927,-53.248660,0,3.013928,-53.248554,0,2800
100,80,31,32,3.013927,-53.248660,0,3.013927,-53.248656,0,3200
100,160,15,16,3.807983,-57.372406,0,3.807788,-56.258475,0,1600
100,160,17,18,3.807983,-57.372406,0,3.807745,-57.064135,0,1800
100,160,19,20,3.807983,-57.372406,0,3.807899,-57.313167,0,2000
100,160,21,22,3.807983,-57.372406,0,3.807995,-57.369264,0,2200
100,160,23,24,3.807983,-57.372406,0,3.807978,-57.370513,0,2400
100,160,25,26,3.807983,-57.372406,0,3.807983,-57.373419,0,2600
100,160,27,28,3.807983,-57.372406,0,3.807983,-57.372272,0,2800
100,160,31,32,3.807983,-57.372406,0,3.807983,-57.372396,0,3200
101,1,15,16,0.401301,-32.741435,0,0.400883,-32.703760,0,1616
101,1,17,18,0.401301,-32.741435,0,0.401382,-32.740988,0,1818
101,1,19,20,0.401301,-32.741435,0,0.401376,-32.738782,0,2020
101,1,21,22,0.401301,-32.741435,0,0.401271,-32.741417,0,2222
101,1,23,24,0.401301,-32.741435,0,0.401301,-32.741551,0,2424
101,1,25,26,0.401301,-32.741435,0,0.401301,-32.741478,0,2626
101,1,27,28,0.401301,-32.741435,0,0.401301,-32.741439,0,2828
101,1,31,32,0.401301,-32.741435,0,0.401301,-32.741435,0,3232
101,2,15,16,0.539460,-36.155397,0,0.540955,-36.076613,0,1616
101,2,17,18,0.539460,-36.155397,0,0.539405,-36.147912,0,1818
101,2,19,20,0.539460,-36.155397,0,0.539468,-36.150836,0,2020
101,2,21,22,0.539460,-36.155397,0,0.539458,-36.155350,0,2222
101,2,23,24,0.539460,-36.155397,0,0.539466,-36.155337,0,2424
101,2,25,26,0.539460,-36.155397,0,0.539459,-36.155411,0,2626
101,2,27,28,0.539460,-36.155397,0,0.539460,-36.155388,0,2828
101,2,31,32,0.539460,-36.155397,0,0.539460,-36.155398,0,3232
101,5,15,16,0.898847,-39.665854,0,0.900190,-39.571827,0,1616
101,5,17,18,0.898847,-39.665854,0,0.898485,-39.650115,0,1818
101,5,19,20,0.898847,-39.665854,0,0.898794,-39.667020,0,2020
101,5,21,22,0.898847,-39.665854,0,0.898839,-39.665596,0,2222
101,5,23,24,0.898847,-39.665854,0,0.898848,-39.665769,0,2424
101,5,25,26,0.898847,-39.665854,0,0.898846,-39.665927,0,2626
101,5,27,28,0.898847,-39.665854,0,0.898847,-39.665852,0,2828
101,5,31,32,0.898847,-39.665854,0,0.898847,-39.665855,0,3232
101,10,15,16,1.233513,-42.965096,0,1.233084,-42.716657,0,1616
101,10,17,18,1.233513,-42.965096,0,1.233299,-42.959676,0,1818
101,10,19,20,1.233513,-42.965096,0,1.233569,-42.961241,0,2020
101,10,21,22,1.233513,-42.965096,0,1.233535,-42.966369,0,2222
101,10,23,24,1.233513,-42.965096,0,1.233507,-42.965300,0,2424
101,10,25,26,1.233513,-42.965096,0,1.233512,-42.965080,0,2626
101,10,27,28,1.233513,-42.965096,0,1.233513,-42.965064,0,2828
101,10,31,32,1.233513,-42.965096,0,1.233513,-42.965096,0,3232
101,20,15,16,1.589376,-46.788114,0,1.588295,-46.572609,0,1616
101,20,17,18,1.589376,-46.788114,0,1.588967,-46.781246,0,1818
101,20,19,20,1.589376,-46.788114,0,1.589319,-46.783077,0,2020
101,20,21,22,1.589376,-46.788114,0,1.589412,-46.788165,0,2222
101,20,23,24,1.589376,-46.788114,0,1.589378,-46.787834,0,2424
101,20,25,26,1.589376,-46.788114,0,1.589375,-46.788281,0,2626
101,20,27,28,1.589376,-46.788114,0,1.589375,-46.788129,0,2828
101,20,31,32,1.589376,-46.788114,0,1.589376,-46.788111,0,3232
101,40,15,16,2.122895,-50.198662,0,2.123176,-49.764898,0,1616
101,40,17,18,2.122895,-50.198662,0,2.122931,-50.201346,0,1818
101,40,19,20,2.122895,-50.198662,0,2.122863,-50.203418,0,2020
101,40,21,22,2.122895,-50.198662,0,2.122909,-50.195697,0,2222
101,40,23,24,2.122895,-50.198662,0,2.122888,-50.198745,0,2424
101,40,25,26,2.122895,-50.198662,0,2.122895,-50.198273,0,2626
101,40,27,28,2.122895,-50.198662,0,2.122895,-50.198617,0,2828
101,40,31,32,2.122895,-50.198662,0,2.122895,-50.198663,0,3232
101,80,15,16,2.923670,-53.498883,0,2.924332,-53.037716,0,1616
101,80,17,18,2.923670,-53.498883,0,2.923902,-53.417552,0,1818
101,80,19,20,2.923670,-53.498883,0,2.923662,-53.448263,0,2020
101,80,21,22,2.923670,-53.498883,0,2.923678,-53.499378,0,2222
101,80,23,24,2.923670,-53.498883,0,2.923680,-53.499044,0,2424
101,80,25,26,2.923670,-53.498883,0,2.923669,-53.498550,0,2626
101,80,27,28,2.923670,-53.498883,0,2.923671,-53.498921,0,2828
101,80,31,32,2.923670,-53.498883,0,2.923670,-53.498880,0,3232
101,160,15,16,3.774303,-57.453687,0,3.774681,-56.199239,0,1616
101,160,17,18,3.774303,-57.453687,0,3.774880,-57.072949,0,1818
101,160,19,20,3.774303,-57.453687,0,3.774319,-57.377649,0,2020
101,160,21,22,3.774303,-57.453687,0,3.774299,-57.450041,0,2222
101,160,23,24,3.774303,-57.453687,0,3.774312,-57.453300,0,2424
101,160,25,26,3.774303,-57.453687,0,3.774305,-57.454141,0,2626
